,heat,T,objective
527,5.7115532,20.0,
528,5.697083,20.0,
529,5.6714894,20.0,
530,5.6399267,20.0,
531,5.6140427,20.0,
532,5.5868745,20.0,
533,5.5838706,20.0,
534,5.6598019,20.0,
535,5.710292,20.0,
536,5.7596823,20.0,
537,5.7477354,20.0,
538,5.7302998,20.0,
539,5.6818734,20.0,
540,5.6550625,20.0,
541,5.6743271,20.0,
542,5.7060339,20.0,
543,5.7108701,20.0,
544,5.7320497,20.0,
545,5.7116834,20.0,
546,5.7247337,20.0,
547,5.7300131,20.0,
548,5.7072974,20.0,
549,5.7255844,20.0,
550,5.7119775,20.0,
551,5.692202,20.0,
552,5.6877576,20.0,
553,5.694877,20.0,
554,5.6691654,20.0,
555,5.674826,20.0,
556,5.6550921,20.0,
557,5.6584496,20.0,
558,5.6640369,20.0,
559,5.6655516,20.0,
560,5.6869079,20.0,
561,5.6911313,20.0,
562,5.6874936,20.0,
563,5.6905156,20.0,
564,5.6747524,20.0,
565,5.666198,20.0,
566,5.6705701,20.0,
567,5.6866168,20.0,
568,5.696133,20.0,
569,5.7053153,20.0,
570,5.6983166,20.0,
571,5.6872212,20.0,
572,5.6925154,20.0,
573,5.7110614,20.0,
574,5.7122496,20.0,
575,5.7284781,20.0,
576,5.7331094,20.0,
577,5.7264558,20.0,
578,5.7170555,20.0,
579,5.7264034,20.0,
580,5.73893,20.0,
581,5.7535765,20.0,
582,5.7576345,20.0,
583,5.7661882,20.0,
584,5.7675515,20.0,
585,5.7730417,20.0,
586,5.7758021,20.0,
587,5.7770193,20.0,
588,5.7810092,20.0,
589,5.7789376,20.0,
590,5.7821789,20.0,
591,5.7800416,20.0,
592,5.7803392,20.0,
593,5.7835108,20.0,
594,5.7847074,20.0,
595,5.7874052,20.0,
596,5.7911183,20.0,
597,5.7906738,20.0,
598,5.7897661,20.0,
599,5.788903,20.0,
600,5.7882902,20.0,
601,5.7886286,20.0,
602,5.7883103,20.0,
603,5.7926027,20.0,
604,5.7971898,20.0,
605,5.8006637,20.0,
606,5.8046811,20.0,
607,5.8078348,20.0,
608,5.8099679,20.0,
609,5.8141246,20.0,
610,5.8164145,20.0,
611,5.8147069,20.0,
612,5.8183985,20.0,
613,5.8263918,20.0,
614,5.8342217,20.0,
615,5.8393922,20.0,
616,5.8486857,20.0,
617,5.8583587,20.0,
618,5.8704522,20.0,
619,5.8786739,20.0,
620,5.8833951,20.0,
621,5.8865397,20.0,
622,5.8884817,20.0,
623,5.8852118,20.0,
624,5.8751413,20.0,
625,5.8705,20.0,
626,5.8734067,20.0,
627,5.8830328,20.0,
628,5.8992,20.0,
629,5.9042867,20.0,
630,5.9071933,20.0,
631,5.9319664,20.0,
632,5.9640496,20.0,
633,5.9780367,20.0,
634,5.9817765,20.0,
635,5.9798533,20.0,
636,5.9758567,20.0,
637,5.9886172,20.0,
638,6.0018333,20.0,
639,5.9871196,20.0,
640,6.02127,20.0,
641,6.0217649,20.0,
642,6.032715,20.0,
643,6.0307167,20.0,
644,6.0291318,20.0,
645,5.9972927,20.0,
646,5.9960207,20.0,
647,6.0365289,20.0,
648,6.0394797,20.0,
649,6.016365,20.0,
650,6.0338044,20.0,
651,6.071225,20.0,
652,6.0949016,20.0,
653,6.1041033,20.0,
654,6.0930223,20.0,
655,6.0903418,20.0,
656,6.105375,20.0,
657,6.1375277,20.0,
658,6.155875,20.0,
659,6.1378719,20.0,
660,6.1202717,20.0,
661,6.122815,20.0,
662,6.1289272,20.0,
663,6.1286267,20.0,
664,6.122815,20.0,
665,6.1288089,20.0,
666,6.1220883,20.0,
667,6.11246,20.0,
668,6.1034957,20.0,
669,6.09938,20.0,
670,6.1011967,20.0,
671,6.0995617,20.0,
672,6.0942933,20.0,
673,6.0970058,20.0,
674,6.1033767,20.0,
675,6.103195,20.0,
676,6.0989352,20.0,
677,6.0957467,20.0,
678,6.0913873,20.0,
679,6.0813983,20.0,
680,6.07504,20.0,
681,6.0643217,20.0,
682,6.0608763,20.0,
683,6.0585083,20.0,
684,6.0541483,20.0,
685,6.048249,20.0,
686,6.0339867,20.0,
687,6.029445,20.0,
688,6.0356217,20.0,
689,6.0398313,20.0,
690,6.042525,20.0,
691,6.0459763,20.0,
692,6.0514051,20.0,
693,6.061415,20.0,
694,6.0704983,20.0,
695,6.0678924,20.0,
696,6.0757667,20.0,
697,6.0859391,20.0,
698,6.0973566,20.0,
699,6.0901162,20.0,
700,6.0837598,20.0,
701,6.0735867,20.0,
702,6.0689448,20.0,
703,6.07286,20.0,
704,6.0661383,20.0,
705,6.0694083,20.0,
706,6.0885885,20.0,
707,6.0888451,20.0,
708,6.0886633,20.0,
709,6.0944752,20.0,
710,6.1052497,20.0,
711,6.101015,20.0,
712,6.0977456,20.0,
713,6.0621041,20.0,
714,6.0677733,20.0,
715,6.0743133,20.0,
716,6.0731544,20.0,
717,6.0637767,20.0,
718,6.06305,20.0,
719,6.0844863,20.0,
720,6.0987598,20.0,
721,6.1144583,20.0,
722,6.129535,20.0,
723,6.1462467,20.0,
724,6.171547,20.0,
725,6.199835,20.0,
726,6.2174545,20.0,
727,6.230715,20.0,
728,6.2379817,20.0,
729,6.2566916,20.0,
730,6.2586901,20.0,
731,6.2744996,20.0,
732,6.2750383,20.0,
733,6.2984714,20.0,
734,6.3015595,20.0,
735,6.289935,20.0,
736,6.2821233,20.0,
737,6.27413,20.0,
738,6.2648655,20.0,
739,6.2472467,20.0,
740,6.228535,20.0,
741,6.2125881,20.0,
742,6.2094633,20.0,
743,6.1974733,20.0,
744,6.199835,20.0,
745,6.2194521,20.0,
746,6.224175,20.0,
747,6.2212683,20.0,
748,6.22472,20.0,
749,6.2276705,20.0,
750,6.2330767,20.0,
751,6.2434317,20.0,
752,6.24761,20.0,
753,6.2548757,20.0,
754,6.26323,20.0,
755,6.2734033,20.0,
756,6.2685669,20.0,
757,6.2619583,20.0,
758,6.263775,20.0,
759,6.2667819,20.0,
760,6.26868,20.0,
761,6.2706783,20.0,
762,6.2781267,20.0,
763,6.2843221,20.0,
764,6.2971996,20.0,
765,6.2902976,20.0,
766,6.2707469,20.0,
767,6.2619583,20.0,
768,6.2725635,20.0,
769,6.2740396,20.0,
770,6.2613305,20.0,
771,6.2677606,20.0,
772,6.2739023,20.0,
773,6.2734323,20.0,
774,6.2719505,20.0,
775,6.2803329,20.0,
776,6.2712401,20.0,
777,6.2667953,20.0,
778,6.2621485,20.0,
779,6.2646384,20.0,
780,6.2790045,20.0,
781,6.2655653,20.0,
782,6.2506749,20.0,
783,6.2100002,20.0,
784,6.1955992,20.0,
785,6.1817265,20.0,
786,6.1538998,20.0,
787,6.1321709,20.0,
788,6.1271785,20.0,
789,6.1584204,20.0,
790,6.2371601,20.0,
791,6.2233577,20.0,
792,6.1870861,20.0,
793,6.0302958,20.0,
794,5.8894396,20.0,
795,5.62767,20.0,
796,5.8615017,20.0,
797,5.8745433,20.0,
798,5.8492247,20.0,
799,5.8163701,20.0,
800,5.8086947,20.0,
801,5.4668865,20.0,
802,5.3858271,20.0,
803,5.3043945,20.0,
804,5.1773947,20.0,
805,5.4895126,20.0,
806,5.5193943,20.0,
807,5.5064983,20.0,
808,5.5550589,20.0,
809,5.5821257,20.0,
810,5.5961329,20.0,
811,5.6378518,20.0,
812,5.7740871,20.0,
813,5.7700951,20.0,
814,5.7122924,20.0,
815,5.7190957,20.0,
816,5.7588448,20.0,
817,5.81937,20.0,
818,5.853357,20.0,
819,5.8046734,20.0,
820,5.7272521,20.0,
821,5.7228858,20.0,
822,5.6692909,20.0,
823,5.6744294,20.0,
824,5.6720564,20.0,
825,5.7235678,20.0,
826,5.7183206,20.0,
827,5.723536,20.0,
828,5.7684067,20.0,
829,5.7015576,20.0,
830,5.7741131,20.0,
831,5.5275856,20.0,
832,5.5026082,20.0,
833,5.4722452,20.0,
834,5.1530832,20.0,
835,4.9713995,20.0,
836,4.7894105,20.0,
837,4.974298,20.0,
838,5.6256727,20.0,
839,5.2574433,20.0,
840,5.328924,20.0,
841,5.2262716,20.0,
842,4.8017979,20.0,
843,4.7678749,20.0,
844,5.2031314,20.0,
845,4.9010717,20.0,
846,4.8894221,20.0,
847,4.8537686,20.0,
848,4.9471369,20.0,
849,4.9003861,20.0,
850,4.9216506,20.0,
851,4.9526228,20.0,
852,4.9548662,20.0,
853,4.9570687,20.0,
854,5.283183,20.0,
855,5.0834844,20.0,
856,5.0977888,20.0,
857,5.2249825,20.0,
858,5.1877695,20.0,
859,5.2860014,20.0,
860,5.3979319,20.0,
861,5.3487922,20.0,
862,5.2628817,20.0,
863,5.2661727,20.0,
864,5.3396652,20.0,
865,5.3951059,20.0,
866,5.4688322,20.0,
867,5.4686685,20.0,
868,5.4179932,20.0,
869,5.5504271,20.0,
870,5.6439332,20.0,
871,5.6997457,20.0,
872,5.7379047,20.0,
873,5.619363,20.0,
874,5.606226,20.0,
875,5.747936,20.0,
876,5.8240653,20.0,
877,5.9085347,20.0,
878,5.9696829,20.0,
879,6.0156662,20.0,
880,6.0350964,20.0,
881,6.0608374,20.0,
882,6.1061597,20.0,
883,6.1512207,20.0,
884,6.1775802,20.0,
885,6.1355618,20.0,
886,6.1416369,20.0,
887,6.187246,20.0,
888,6.2136172,20.0,
889,6.2274675,20.0,
890,6.2487211,20.0,
891,6.2715406,20.0,
892,6.2915913,20.0,
893,6.3271953,20.0,
894,6.3507722,20.0,
895,6.372941,20.0,
896,6.3742207,20.0,
897,6.3451568,20.0,
898,6.397447,20.0,
899,6.4886616,20.0,
900,6.4986525,20.0,
901,6.5527849,20.0,
902,6.5944083,20.0,
903,6.6127302,20.0,
904,6.6159999,20.0,
905,6.6192696,20.0,
906,6.6280828,20.0,
907,6.6510587,20.0,
908,6.6748552,20.0,
909,6.6550926,20.0,
910,6.6456092,20.0,
911,6.6439743,20.0,
912,6.6303629,20.0,
913,6.6270806,20.0,
914,6.6152732,20.0,
915,6.5831208,20.0,
916,6.5749401,20.0,
917,6.5662271,20.0,
918,6.5496967,20.0,
919,6.5451242,20.0,
920,6.5375261,20.0,
921,6.4991974,20.0,
922,6.4913863,20.0,
923,6.4661368,20.0,
924,6.4555007,20.0,
925,6.4648652,20.0,
926,6.4465183,20.0,
927,6.4279896,20.0,
928,6.433076,20.0,
929,6.4225402,20.0,
930,6.404638,20.0,
931,6.3969272,20.0,
932,6.4152741,20.0,
933,6.4238117,20.0,
934,6.412186,20.0,
935,6.4183622,20.0,
936,6.388853,20.0,
937,6.3753106,20.0,
938,6.3602334,20.0,
939,6.3636848,20.0,
940,6.3502428,20.0,
941,6.3450057,20.0,
942,6.3486072,20.0,
943,6.336438,20.0,
944,6.3422506,20.0,
945,6.3467595,20.0,
946,6.3335316,20.0,
947,6.329535,20.0,
948,6.3377093,20.0,
949,6.3702244,20.0,
950,6.3765822,20.0,
951,6.3947474,20.0,
952,6.4120043,20.0,
953,6.4114594,20.0,
954,6.4012868,20.0,
955,6.3862097,20.0,
956,6.3767639,20.0,
957,6.3713143,20.0,
958,6.3753482,20.0,
959,6.3938392,20.0,
960,6.3836666,20.0,
961,6.3773089,20.0,
962,6.3753483,20.0,
963,6.3705877,20.0,
964,6.378762,20.0,
965,6.3858464,20.0,
966,6.38973,20.0,
967,6.3907511,20.0,
968,6.3925676,20.0,
969,6.4238117,20.0,
970,6.469181,20.0,
971,6.4817588,20.0,
972,6.4712231,20.0,
973,6.436164,20.0,
974,6.4356818,20.0,
975,6.4329145,20.0,
976,6.4290796,20.0,
977,6.4436118,20.0,
978,6.4474328,20.0,
979,6.4443385,20.0,
980,6.4367091,20.0,
981,6.4323493,20.0,
982,6.4285346,20.0,
983,6.420542,20.0,
984,6.4176356,20.0,
985,6.4174414,20.0,
986,6.4096428,20.0,
987,6.4147292,20.0,
988,6.4187255,20.0,
989,6.4297185,20.0,
990,6.4261732,20.0,
991,6.4334393,20.0,
992,6.4643202,20.0,
993,6.4858428,20.0,
994,6.5150011,20.0,
995,6.5547831,20.0,
996,6.5688016,20.0,
997,6.5694969,20.0,
998,6.5868223,20.0,
999,6.5572259,20.0,
1000,6.5535114,20.0,
1001,6.5546013,20.0,
1002,6.5400379,20.0,
1003,6.5168177,20.0,
1004,6.5028304,20.0,
1005,6.4868451,20.0,
1006,6.4560326,20.0,
1007,6.4539221,20.0,
1008,6.4341659,20.0,
1009,6.4211556,20.0,
1010,6.4197877,20.0,
1011,6.4083712,20.0,
1012,6.4065547,20.0,
1013,6.3814868,20.0,
1014,6.3714897,20.0,
1015,6.3807601,20.0,
1016,6.3851198,20.0,
1017,6.390093,20.0,
1018,6.3891161,20.0,
1019,6.4411188,20.0,
1020,6.4969044,20.0,
1021,6.5010139,20.0,
1022,6.521359,20.0,
1023,6.549575,20.0,
1024,6.5771262,20.0,
1025,6.5974712,20.0,
1026,6.6101933,20.0,
1027,6.6082573,20.0,
1028,6.6074622,20.0,
1029,6.5969263,20.0,
1030,6.5667721,20.0,
1031,6.5659954,20.0,
1032,6.5850743,20.0,
1033,6.5771947,20.0,
1034,6.5706553,20.0,
1035,6.5786233,20.0,
1036,6.5630259,20.0,
1037,6.5715874,20.0,
1038,6.59913,20.0,
1039,6.6140749,20.0,
1040,6.626765,20.0,
1041,6.6370508,20.0,
1042,6.6337184,20.0,
1043,6.6393884,20.0,
1044,6.6274439,20.0,
1045,6.6333939,20.0,
1046,6.6464986,20.0,
1047,6.6527175,20.0,
1048,6.6517407,20.0,
1049,6.642137,20.0,
1050,6.6470416,20.0,
1051,6.6667732,20.0,
1052,6.6772377,20.0,
1053,6.689459,20.0,
1054,6.6942982,20.0,
1055,6.7135565,20.0,
1056,6.7241847,20.0,
1057,6.7221462,20.0,
1058,6.7085035,20.0,
1059,6.7262113,20.0,
1060,6.7392645,20.0,
1061,6.7451759,20.0,
1062,6.7386169,20.0,
1063,6.7199383,20.0,
1064,6.7223909,20.0,
1065,6.6943699,20.0,
1066,6.6775227,20.0,
1067,6.670444,20.0,
1068,6.6446354,20.0,
1069,6.6065816,20.0,
1070,6.578401,20.0,
1071,6.5837827,20.0,
1072,6.5770837,20.0,
1073,6.5368849,20.0,
1074,6.4531294,20.0,
1075,6.4280934,20.0,
1076,6.3804151,20.0,
1077,6.3461008,20.0,
1078,6.2927958,20.0,
